Название,Ссылка,Id,Автор,Дата подачи,Дата публикации
ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU159261U1_20160210,RU159261U1,Мокрушин Петр Михайлович (RU),2015.03.05,2016.02.10
ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU183226U1_20180913,RU183226U1,Мокрушин Петр Михайлович (RU),2017.09.28,2018.09.13
ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU187689U1_20190314,RU187689U1,Мокрушин Петр Михайлович (RU),2018.08.23,2019.03.14
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2067739C1_19961010,RU2067739C1,Адов А.Б.,1992.06.05,1996.10.10
Складывающееся стрелковое оружие,https://yandex.ru/patents/doc/RU2067741C1_19961010,RU2067741C1,Адов А.Б.,1992.06.15,1996.10.10
Ручное огнестрельное оружие с...,https://yandex.ru/patents/doc/SU18146A1_19300930,SU18146A1,,1926.12.06,1930.09.30
Стрелковое оружие и затвор стрелкового...,https://yandex.ru/patents/doc/RU2751832C1_20210719,RU2751832C1,Паршин Борис Викторович (UZ),2020.12.23,2021.07.19
ПНЕВМАТИЧЕСКОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2074351C1_19970227,RU2074351C1,Мурадов Э.П.,1994.02.15,1997.02.27
Оптико-механическое приспособление для...,https://yandex.ru/patents/doc/RU2368858C1_20090927,RU2368858C1,Финк Юрий Михайлович (RU),2007.12.26,2009.09.27
ОРУЖИЕ САМООБОРОНЫ,https://yandex.ru/patents/doc/RU2243476C1_20041227,RU2243476C1,Гуляев С.В. (RU),2004.01.08,2004.12.27
Стрелковое многозарядное оружие,https://yandex.ru/patents/doc/RU2766490C1_20220315,RU2766490C1,Грязев Василий Петрович (RU),2006.05.29,2022.03.15
Пневматическое оружие,https://yandex.ru/patents/doc/SU646192A1_19790205,SU646192A1,,1975.12.29,1979.02.05
"Ручное оружие с электроуправлением, корпус...",https://yandex.ru/patents/doc/RU2141092C1_19991110,RU2141092C1,Шарыпкин А.П.,1998.03.24,1999.11.10
ПНЕВМАТИЧЕСКОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2452914C2_20120610,RU2452914C2,Сенновский Валерий Андреевич (RU),2009.10.13,2012.06.10
ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2149335C1_20000520,RU2149335C1,Миронов Н.С.,1997.06.30,2000.05.20
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2410626C1_20110127,RU2410626C1,Злобин Владимир Викторович (RU),2009.07.13,2011.01.27
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2399009C1_20100910,RU2399009C1,Злобин Владимир Викторович (RU),2009.04.13,2010.09.10
Стрелковое многозарядное оружие,https://yandex.ru/patents/doc/RU2208212C2_20030710,RU2208212C2,Грязев В.П.,2001.06.28,2003.07.10
Оружие нелетального действия,https://yandex.ru/patents/doc/RU2585124C2_20160527,RU2585124C2,Сидоркин Сергей Федорович (RU),2014.08.15,2016.05.27
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2580402C1_20160410,RU2580402C1,Староверов Николай Евгеньевич (RU),2015.01.12,2016.04.10
Стрелковое многозарядное оружие,https://yandex.ru/patents/doc/RU2303761C1_20070727,RU2303761C1,Грязев Василий Петрович (RU),2006.05.29,2007.07.27
Многозарядное стрелковое оружие,https://yandex.ru/patents/doc/RU55458U1_20060810,RU55458U1,Пушкин Николай Михайлович (RU),2006.03.30,2006.08.10
ГАЗОБАЛЛОННОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2282126C2_20060820,RU2282126C2,Романов Георгий Александрович (RU),2003.05.27,2006.08.20
ПНЕВМАТИЧЕСКОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU137359U1_20140210,RU137359U1,Романов Георгий Александрович (RU),2013.08.20,2014.02.10
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2399010C1_20100910,RU2399010C1,Злобин Владимир Викторович (RU),2009.06.08,2010.09.10
ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2151993C1_20000627,RU2151993C1,Котюхов Ф.А.,1999.06.21,2000.06.27
ГАЗОБАЛЛОННОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2176370C2_20011127,RU2176370C2,Стерхов В.А.,1999.08.27,2001.11.27
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2316706C2_20080210,RU2316706C2,Суслопаров Владимир Федорович (RU),2005.08.01,2008.02.10
Многозарядное пневматическое оружие,https://yandex.ru/patents/doc/RU2235264C1_20040827,RU2235264C1,Суслопаров В.Ф. (RU),2003.06.16,2004.08.27
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2431798C1_20111020,RU2431798C1,Злобин Владимир Викторович (RU),2010.07.28,2011.10.20
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2443964C1_20120227,RU2443964C1,Громов Владимир Вячеславович (RU),2010.09.13,2012.02.27
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2478177C2_20130327,RU2478177C2,Злобин Владимир Викторович (RU),2011.03.29,2013.03.27
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2675094C1_20181214,RU2675094C1,Симоненко Алексей Иванович (RU),2017.07.31,2018.12.14
Электрическое барьерное оружие ПВО для...,https://yandex.ru/patents/doc/RU2314479C2_20080110,RU2314479C2,Тикменов Василий Николаевич (RU),2006.02.10,2008.01.10
САМОЗАРЯДНОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2074346C1_19970227,RU2074346C1,Анисимов А.С.,1993.12.14,1997.02.27
Стрелковое оружие,https://yandex.ru/patents/doc/RU210342U1_20220408,RU210342U1,Соловьев Никита Александрович (RU),2021.12.15,2022.04.08
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2243471C1_20041227,RU2243471C1,Шамаев В.А. (RU),2003.11.10,2004.12.27
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2235262C1_20040827,RU2235262C1,Богданов Ю.М. (RU),2003.03.11,2004.08.27
Стрелковое оружие,https://yandex.ru/patents/doc/RU2714059C1_20200211,RU2714059C1,Малиновский Александр Леонидович (RU),2019.06.28,2020.02.11
Огнестрельное оружие,https://yandex.ru/patents/doc/RU2774500C1_20220621,RU2774500C1,Русанов Роман Владимирович (RU),2021.10.22,2022.06.21
ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2151356C1_20000620,RU2151356C1,Котюхов Ф.А.,1999.06.21,2000.06.20
Стрелковое баллистическое оружие,https://yandex.ru/patents/doc/RU2218537C2_20031210,RU2218537C2,Грязев В.П.,2002.02.04,2003.12.10
ПНЕВМАТИЧЕСКОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU121358U1_20121020,RU121358U1,Романов Георгий Александрович (RU),2012.05.29,2012.10.20
Стрелковое многозарядное оружие,https://yandex.ru/patents/doc/RU2124169C1_19981227,RU2124169C1,Грачев В.И.,1997.08.19,1998.12.27
Стрелковое оружие со складным прикладом,https://yandex.ru/patents/doc/RU2657053C1_20180608,RU2657053C1,Уржумцев Сергей Владимирович (RU),2017.04.07,2018.06.08
Стрелковое оружие со сдвоенным прицельным...,https://yandex.ru/patents/doc/RU2111436C1_19980520,RU2111436C1,Грязев В.П.,1995.10.31,1998.05.20
Огнестрельное оружие ограниченного...,https://yandex.ru/patents/doc/RU2599468C1_20161010,RU2599468C1,Бакакин Анатолий Николаевич (RU),2015.03.23,2016.10.10
Самозарядное вкладное оружие,https://yandex.ru/patents/doc/RU2328688C1_20080710,RU2328688C1,Громов Владимир Вячеславович (RU),2006.11.15,2008.07.10
Стрелковое оружие со складывающимся...,https://yandex.ru/patents/doc/RU2684881C1_20190415,RU2684881C1,Злобин Владимир Викторович (RU),2018.08.08,2019.04.15
Складывающееся стрелковое оружие,https://yandex.ru/patents/doc/RU2148767C1_20000510,RU2148767C1,Грязев В.П.,1998.12.30,2000.05.10
Система подачи патронов в автоматическое...,https://yandex.ru/patents/doc/RU2396501C1_20100810,RU2396501C1,Слугин Валерий Георгиевич (RU),2009.03.02,2010.08.10
БЕСШУМНОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2369824C1_20091010,RU2369824C1,Сагаков Станислав Святославович (RU),2008.05.05,2009.10.10
БЕСШУМНОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2275577C1_20060427,RU2275577C1,Сагаков Станислав Святославович (RU),2004.11.29,2006.04.27
ГАЗОБАЛЛОННОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2141619C1_19991120,RU2141619C1,Субботин А.Е.,1999.01.26,1999.11.20
Автоматическое стрелковое оружие с...,https://yandex.ru/patents/doc/RU2093770C1_19971020,RU2093770C1,Седов Павел Аркадьевич,1995.02.23,1997.10.20
Возвратно-боевая пружина кручения для...,https://yandex.ru/patents/doc/RU2302597C2_20070710,RU2302597C2,Титков Олег Павлович (RU),2005.09.26,2007.07.10
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2544056C1_20150310,RU2544056C1,Злобин Владимир Викторович (RU),2014.01.27,2015.03.10
Огнестрельное оружие скрытого ношения,https://yandex.ru/patents/doc/RU2174664C2_20011010,RU2174664C2,Еласов Э.В.,1999.05.18,2001.10.10
Способ работы автоматического стрелкового...,https://yandex.ru/patents/doc/RU2239759C1_20041110,RU2239759C1,Бобылев А.М. (RU),2003.03.04,2004.11.10
Стрелковое оружие с боеприпасами,https://yandex.ru/patents/doc/RU2153645C1_20000727,RU2153645C1,Царев В.Н.,1999.06.25,2000.07.27
Стрелковое оружие со сдвоенным прицельным...,https://yandex.ru/patents/doc/RU2082937C1_19970627,RU2082937C1,Шипунов А.Г.,1994.08.11,1997.06.27
Самозарядное оружие,https://yandex.ru/patents/doc/RU209203U1_20220207,RU209203U1,Власенко Валентин Викторович (RU),2021.11.18,2022.02.07
Стрелковое оружие с полусвободным затвором,https://yandex.ru/patents/doc/RU2075022C1_19970310,RU2075022C1,Шевченко Виктор Леонидович[UA],1995.05.25,1997.03.10
Оружие с лазерным целеуказателем и способ...,https://yandex.ru/patents/doc/RU2141093C1_19991110,RU2141093C1,Мельник А.П.,1998.09.29,1999.11.10
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2103631C1_19980127,RU2103631C1,Соловьев Валерий Михайлович,1996.07.19,1998.01.27
Оружие револьверного типа,https://yandex.ru/patents/doc/RU2613944C1_20170322,RU2613944C1,Иванов Игнат Игоревич (RU),2016.06.06,2017.03.22
Малогабаритное стрелковое оружие,https://yandex.ru/patents/doc/RU2574501C1_20160210,RU2574501C1,Васильев Игорь Михайлович (RU),2014.09.04,2016.02.10
Огнестрельное оружие с отделяемым стволом,https://yandex.ru/patents/doc/RU2588922C2_20160710,RU2588922C2,Турлаков Максим Сергеевич (RU),2014.10.13,2016.07.10
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2549299C2_20150427,RU2549299C2,Злобин Владимир Викторович (RU),2013.09.17,2015.04.27
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2427778C1_20110827,RU2427778C1,Балуков Михаил Николаевич (RU),2010.05.05,2011.08.27
ОРУЖИЕ САМОСТРЕЛЯЮЩЕЕ,https://yandex.ru/patents/doc/RU2147361C1_20000410,RU2147361C1,Батуев Г.А.,1999.01.06,2000.04.10
ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2341753C1_20081220,RU2341753C1,Воинков Сергей Александрович (RU),2007.02.09,2008.12.20
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2624279C1_20170703,RU2624279C1,Громов Владимир Вячеславович (RU),2016.03.01,2017.07.03
ОРУЖИЕ САМООБОРОНЫ,https://yandex.ru/patents/doc/RU2229083C1_20040520,RU2229083C1,Гуляев С.В. (RU),2002.09.17,2004.05.20
ПИРОПНЕВМАТИЧЕСКОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2690140C1_20190530,RU2690140C1,Киреев Николай Николаевич (RU),2018.06.08,2019.05.30
ОРУЖИЕ,https://yandex.ru/patents/doc/RU2207477C1_20030627,RU2207477C1,Стерхов В.А.,2002.03.20,2003.06.27
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2058519C1_19960420,RU2058519C1,Титов А.П.,1994.05.11,1996.04.20
Стрелковое многозарядное оружие,https://yandex.ru/patents/doc/RU2167379C1_20010520,RU2167379C1,Грачев В.И.,1999.10.28,2001.05.20
Магазинное оружие с ручным перезаряжанием,https://yandex.ru/patents/doc/RU2386098C2_20100410,RU2386098C2,Павлов Сергей Николаевич (RU),2008.04.14,2010.04.10
Ручное огнестрельное оружие со...,https://yandex.ru/patents/doc/RU2206040C1_20030610,RU2206040C1,Симоненко В.Ю.,2002.01.23,2003.06.10
Оружие с быстросъемным прикладом,https://yandex.ru/patents/doc/RU2520557C2_20140627,RU2520557C2,Сердюков Петр Иванович (RU),2012.05.12,2014.06.27
Полуавтоматическое огнестрельное оружие,https://yandex.ru/patents/doc/RU2701137C1_20190924,RU2701137C1,Новиков Владимир Викторович (RU),2018.12.19,2019.09.24
ГАЗОБАЛЛОННОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2382312C1_20100220,RU2382312C1,Романов Георгий Александрович (RU),2008.06.02,2010.02.20
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2308653C2_20071020,RU2308653C2,Пономарев Александр Афанасьевич (RU),2005.08.01,2007.10.20
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2557578C1_20150727,RU2557578C1,Кузин Николай Николаевич (RU),2014.05.07,2015.07.27
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2438089C1_20111227,RU2438089C1,Злобин Владимир Викторович (RU),2010.07.29,2011.12.27
Спортивное подводное оружие,https://yandex.ru/patents/doc/RU2119141C1_19980920,RU2119141C1,Михайленко Сергей Анатольевич,1997.06.03,1998.09.20
Стрелковое оружие с магазинной подачей...,https://yandex.ru/patents/doc/RU2723931C1_20200618,RU2723931C1,Журавлев Александр Федорович (RU),2020.02.28,2020.06.18
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2212608C1_20030920,RU2212608C1,Борисов А.Д.,2002.07.15,2003.09.20
ПНЕВМАТИЧЕСКОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2209384C1_20030727,RU2209384C1,Аленин А.И.,2001.12.17,2003.07.27
ОРУЖИЕ,https://yandex.ru/patents/doc/RU2429437C1_20110920,RU2429437C1,Громов Владимир Вячеславович (RU),2010.06.09,2011.09.20
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2194939C2_20021220,RU2194939C2,Гуляев С.В.,2000.10.19,2002.12.20
Пневматическое оружие,https://yandex.ru/patents/doc/SU1044951A1_19830930,SU1044951A1,,1981.10.09,1983.09.30
Запирающий механизм самозарядного оружия,https://yandex.ru/patents/doc/SU1799446A3_19930228,SU1799446A3,БЕРЕЗИН ЮРИЙ ИВАНОВИЧ,1990.07.09,1993.02.28
ОРУЖИЕ,https://yandex.ru/patents/doc/RU2551825C1_20150527,RU2551825C1,Громов Владимир Вячеславович (RU),2014.02.07,2015.05.27
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2103632C1_19980127,RU2103632C1,Андреев Дмитрий Владимирович,1992.04.22,1998.01.27
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2438088C1_20111227,RU2438088C1,Кузнецов Борис Иванович (RU),2010.08.16,2011.12.27
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2595243C1_20160820,RU2595243C1,Балуков Михаил Николаевич (RU),2015.04.13,2016.08.20
ГАЗОБАЛЛОННОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU129619U1_20130627,RU129619U1,Романов Георгий Александрович (RU),2012.05.29,2013.06.27
Одноствольное гладкоствольное оружие,https://yandex.ru/patents/doc/RU2229079C1_20040520,RU2229079C1,Аксёнов Е.М. (RU),2003.03.31,2004.05.20
Стрелковое многозарядное оружие,https://yandex.ru/patents/doc/RU2239763C1_20041110,RU2239763C1,Грязев В.П. (RU),2003.07.14,2004.11.10
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2137079C1_19990910,RU2137079C1,Богданов Ю.М.,1997.07.14,1999.09.10
Автоматическое огнестрельное оружие,https://yandex.ru/patents/doc/RU2354911C1_20090510,RU2354911C1,Ковальчук Валерий Адамович (RU),2007.09.04,2009.05.10
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2447389C1_20120410,RU2447389C1,Зеленко Виктор Кириллович (RU),2010.10.07,2012.04.10
Огнестрельное оружие с подвижным стволом,https://yandex.ru/patents/doc/RU2588415C1_20160627,RU2588415C1,Богданов Юрий Михайлович (RU),2015.01.12,2016.06.27
Стрелковое оружие с дистанционным...,https://yandex.ru/patents/doc/RU2460027C2_20120827,RU2460027C2,Сурганов Николай Викторович (RU),2010.08.02,2012.08.27
Пневматическое оружие,https://yandex.ru/patents/doc/SU1816954A1_19930523,SU1816954A1,,1990.02.27,1993.05.23
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2387942C1_20100427,RU2387942C1,Злобин Владимир Викторович (RU),2009.03.24,2010.04.27
ПНЕВМАТИЧЕСКОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2092767C1_19971010,RU2092767C1,Стерхов В.А.,1994.08.03,1997.10.10
ПНЕВМАТИЧЕСКОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2652422C1_20180426,RU2652422C1,Петров Максим Александрович (RU),2017.04.18,2018.04.26
Огнестрельное автоматическое оружие,https://yandex.ru/patents/doc/RU2638588C1_20171214,RU2638588C1,Богданов Юрий Михайлович (RU),2016.06.27,2017.12.14
ОРУЖИЕ,https://yandex.ru/patents/doc/RU2206856C2_20030620,RU2206856C2,Передвигин В.Г.,2000.10.19,2003.06.20
Система подачи патронов в автоматическое...,https://yandex.ru/patents/doc/RU2729337C1_20200806,RU2729337C1,Слугин Валерий Георгиевич (RU),2020.02.18,2020.08.06
ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2081380C1_19970610,RU2081380C1,Плецкий Б.М.,1993.03.17,1997.06.10
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2077018C1_19970410,RU2077018C1,Дерягин А.А.,1993.02.15,1997.04.10
Крешерное стрелковое баллистическое оружие,https://yandex.ru/patents/doc/RU2762454C1_20211221,RU2762454C1,Веревкин Павел Сергеевич (RU),2021.08.26,2021.12.21
ОГНЕСТРЕЛЬНОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2241941C2_20041210,RU2241941C2,ЯРОСЛАВ КУРАСИНА (SK),2000.10.03,2004.12.10
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2236662C2_20040920,RU2236662C2,Грязев В.П. (RU),2002.09.09,2004.09.20
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2172915C1_20010827,RU2172915C1,Грязев В.П.,2000.04.07,2001.08.27
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2082935C1_19970627,RU2082935C1,Суслопаров В.Ф.,1994.01.26,1997.06.27
Ручное многозарядное оружие,https://yandex.ru/patents/doc/RU2711541C1_20200117,RU2711541C1,Чивилев Яков Владимирович (RU),2019.02.19,2020.01.17
Автоматическое оружие,https://yandex.ru/patents/doc/SU42941A1_19350430,SU42941A1,,1931.08.14,1935.04.30
Пневматическое оружие,https://yandex.ru/patents/doc/RU2657846C2_20180615,RU2657846C2,Штернберг Александр Сергеевич (RU),2016.12.12,2018.06.15
Стрелковое оружие,https://yandex.ru/patents/doc/RU2624523C1_20170704,RU2624523C1,Шамаев Владимир Александрович (RU),2016.05.27,2017.07.04
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2344361C1_20090120,RU2344361C1,Грязев Василий Петрович (RU),2007.04.02,2009.01.20
СПОРТИВНО-ОХОТНИЧЬЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2231010C1_20040620,RU2231010C1,Низов Н.К. (RU),2002.10.07,2004.06.20
Оружие для фехтования,https://yandex.ru/patents/doc/SU1480833A1_19890523,SU1480833A1,,1987.06.10,1989.05.23
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2064152C1_19960720,RU2064152C1,Андреев Дмитрий Владимирович,1992.05.25,1996.07.20
Пневматическое оружие,https://yandex.ru/patents/doc/SU1099182A2_19840623,SU1099182A2,,1983.03.18,1984.06.23
БАЛЛИСТИЧЕСКОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2681438C1_20190306,RU2681438C1,Ваченко Сергей Филаретович (RU),2017.12.06,2019.03.06
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2431796C1_20111020,RU2431796C1,Злобин Владимир Викторович (RU),2010.06.15,2011.10.20
ОРУЖИЕ САМООБОРОНЫ,https://yandex.ru/patents/doc/RU2615799C1_20170411,RU2615799C1,Бидеев Геннадий Александрович (RU),2016.02.18,2017.04.11
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2245502C2_20050127,RU2245502C2,Баранов О.В. (RU),2002.10.28,2005.01.27
АВТОМАТИЧЕСКОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2396502C1_20100810,RU2396502C1,Слугин Валерий Георгиевич (RU),2009.04.29,2010.08.10
Автоматическое огнестрельное оружие,https://yandex.ru/patents/doc/RU2123655C1_19981220,RU2123655C1,Богданов Ю.М.,1997.08.01,1998.12.20
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2529088C1_20140927,RU2529088C1,Злобин Владимир Викторович (RU),2013.04.30,2014.09.27
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU168919U1_20170228,RU168919U1,Грузенкин Виктор Иванович (RU),2016.03.29,2017.02.28
БЕСШУМНОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2274814C1_20060420,RU2274814C1,Сагаков Станислав Святославович (RU),2004.11.19,2006.04.20
Пневматическое оружие,https://yandex.ru/patents/doc/SU1154523A1_19850507,SU1154523A1,,1983.05.24,1985.05.07
Пневматическое оружие,https://yandex.ru/patents/doc/SU489430A2_19801107,SU489430A2,,1974.07.19,1980.11.07
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU186450U1_20190121,RU186450U1,Еремин Борис Георгиевич (RU),2018.08.29,2019.01.21
Огнестрельное малошумное оружие,https://yandex.ru/patents/doc/RU2345304C2_20090127,RU2345304C2,Набоков Владислав Васильевич (RU),2007.03.20,2009.01.27
Магазинное оружие с ручным перезаряжанием,https://yandex.ru/patents/doc/RU2411440C1_20110210,RU2411440C1,Павлов Сергей Николаевич (RU),2009.11.17,2011.02.10
Бесшумное стрелковое оружие,https://yandex.ru/patents/doc/RU2066037C1_19960827,RU2066037C1,Сердюков П.И.,1993.04.19,1996.08.27
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2442096C1_20120210,RU2442096C1,Амелин Юрий Геннадьевич (RU),2010.10.07,2012.02.10
Стрелковое оружие с подвижным стволом,https://yandex.ru/patents/doc/RU2312295C1_20071210,RU2312295C1,Ковальчук Валерий Адамович (RU),2006.05.26,2007.12.10
ОРУЖИЕ,https://yandex.ru/patents/doc/RU2212613C1_20030920,RU2212613C1,Стерхов В.А.,2002.03.20,2003.09.20
Беспатронное автоматическое оружие с...,https://yandex.ru/patents/doc/RU2603246C1_20161127,RU2603246C1,Рогульченко Алексей Маратович (RU),2015.06.08,2016.11.27
ОРУЖИЕ МАГАКЬЯНА-3 МВС,https://yandex.ru/patents/doc/RU2137081C1_19990910,RU2137081C1,Магакьян В.С.,1997.12.09,1999.09.10
ГАЗОБАЛЛОННОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2155310C2_20000827,RU2155310C2,Романов Г.А.,1998.11.02,2000.08.27
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2235261C1_20040827,RU2235261C1,Безбородов Н.А. (RU),2003.03.24,2004.08.27
ПНЕВМАТИЧЕСКОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU156541U1_20151110,RU156541U1,Бакакин Анатолий Николаевич (RU),2015.04.10,2015.11.10
Сувенирное холодное оружие,https://yandex.ru/patents/doc/RU63046U1_20070510,RU63046U1,Васюхин Владимир Анатольевич (RU),2006.08.02,2007.05.10
Оружие с продольно-скользящим затвором,https://yandex.ru/patents/doc/RU2426051C2_20110810,RU2426051C2,Захарян Аркадий Константинович (RU),2009.10.12,2011.08.10
"Оружие, использующее жидкое метательное...",https://yandex.ru/patents/doc/RU2204775C2_20030520,RU2204775C2,Степанов А.А.,2001.01.19,2003.05.20
"Оружие, использующее жидкое метательное...",https://yandex.ru/patents/doc/RU2121124C1_19981027,RU2121124C1,Степанов А.А.,1997.01.22,1998.10.27
Автоматическое стрелковое оружие,https://yandex.ru/patents/doc/RU2114367C1_19980627,RU2114367C1,Грязев В.П.,1996.03.05,1998.06.27
АВТОМАТИЧЕСКОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2165577C2_20010420,RU2165577C2,Пчентлешев В.Т.,1999.06.21,2001.04.20
Автоматическое оружие,https://yandex.ru/patents/doc/SU69577A1_19470101,SU69577A1,,1946.01.24,1947.01.01
Огнестрельное оружие с отделяемым стволом,https://yandex.ru/patents/doc/RU2634157C1_20171024,RU2634157C1,Турлаков Максим Сергеевич (RU),2016.03.31,2017.10.24
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2331831C1_20080820,RU2331831C1,Громов Владимир Вячеславович (RU),2006.11.15,2008.08.20
СТРЕЛКОВОЕ ОРУЖИЕ,https://yandex.ru/patents/doc/RU2089819C1_19970910,RU2089819C1,Бандаевский Александр Григорьевич,1994.01.06,1997.09.10
Стрелковое оружие с комплектом инструментов,https://yandex.ru/patents/doc/RU182348U1_20180815,RU182348U1,Анисимов Александр Сергеевич (RU),2017.10.27,2018.08.15
Автоматическое огнестрельное оружие,https://yandex.ru/patents/doc/RU2389960C2_20100520,RU2389960C2,Богданов Юрий Михайлович (RU),2008.08.08,2010.05.20
Пневматическое оружие компрессионного типа,https://yandex.ru/patents/doc/SU1172343A1_19870923,SU1172343A1,,1984.05.30,1987.09.23
Стрелковое оружие,https://yandex.ru/patents/doc/RU2658196C1_20180619,RU2658196C1,Чаузов Константин Николаевич (RU),2017.06.23,2018.06.19
Способ проведения военно-исследовательских работ...,https://yandex.ru/patents/doc/RU2600560C2_20161020,RU2600560C2,Шеремет Игорь Борисович (RU),2012.11.07,2016.10.20
Бесствольное оружие самообороны с...,https://yandex.ru/patents/doc/RU2236664C1_20040920,RU2236664C1,Аленин А.И. (RU),2003.09.30,2004.09.20
