Название,Ссылка,Id,Автор,Дата подачи,Дата публикации
КРУПНОКАЛИБЕРНЫЙ ПУЛЕМЕТ,https://yandex.ru/patents/doc/RU2419054C1_20110520,RU2419054C1,Громов Владимир Вячеславович (RU),2009.10.05,2011.05.20
Кейс для переноски конфиденциальных материалов,https://yandex.ru/patents/doc/RU93863U1_20100510,RU93863U1,Дубовский Владимир Александрович (RU),2009.12.16,2010.05.10
Устройство для выброса гильзы зенитного комплекса,https://yandex.ru/patents/doc/RU2406053C1_20101210,RU2406053C1,Слугин Валерий Георгиевич (RU),2009.07.14,2010.12.10
Устройство для воздействия на объекты...,https://yandex.ru/patents/doc/RU2383843C2_20100310,RU2383843C2,Антуфьев Игорь Александрович (RU),2007.10.18,2010.03.10
Защитная перегородка кабины экипажа пассажирского...,https://yandex.ru/patents/doc/RU92648U1_20100327,RU92648U1,Субботин Виктор Владимирович (RU),2008.07.03,2010.03.27
Узел крепления средств сигнализации для машин...,https://yandex.ru/patents/doc/RU91522U1_20100220,RU91522U1,Миронов Сергей Павлович (RU),2008.12.31,2010.02.20
Многослойное изделие конструкционной оптики,https://yandex.ru/patents/doc/RU82829U1_20090510,RU82829U1,Беляев Владимир Владимирович (RU),2008.03.24,2009.05.10
БОЕУКЛАДКА,https://yandex.ru/patents/doc/RU2334942C2_20080927,RU2334942C2,Чупин Илья Александрович (RU),2006.10.24,2008.09.27
Портативное стреляющее устройство карпеченко,https://yandex.ru/patents/doc/RU74700U1_20080710,RU74700U1,Карпеченко Анатолий Владимирович (UA),2008.02.04,2008.07.10
ЗАЩИТНЫЙ КОСТЮМ,https://yandex.ru/patents/doc/RU75833U1_20080827,RU75833U1,Гайдай Виталий Васильевич (RU),2007.09.21,2008.08.27
СТРЕЛКОВЫЙ ТИР,https://yandex.ru/patents/doc/RU2321819C2_20080410,RU2321819C2,Захаров Владимир Николаевич (RU),2006.07.06,2008.04.10
Способ маркирования пластичных и эластичных...,https://yandex.ru/patents/doc/RU2322428C1_20080420,RU2322428C1,Котов Леонид Рудольфович (RU),2006.10.03,2008.04.20
ПУЛЕУЛОВИТЕЛЬ,https://yandex.ru/patents/doc/RU63518U1_20070527,RU63518U1,Захаров Владимир Николаевич (RU),2006.12.19,2007.05.27
Устройство для предотвращения захвата...,https://yandex.ru/patents/doc/RU62893U1_20070510,RU62893U1,Белый Давид Михайлович (RU),2006.10.17,2007.05.10
Многослойная защитная панель,https://yandex.ru/patents/doc/RU53699U1_20060527,RU53699U1,Новикова Татьяна Борисовна (RU),2005.12.06,2006.05.27
Воздушный лечебно-эвакуационный комплекс,https://yandex.ru/patents/doc/RU50975U1_20060127,RU50975U1,Бурлаченко Николай Иванович (RU),2005.09.12,2006.01.27
НАКИДКА-ПАЛАТКА,https://yandex.ru/patents/doc/RU50385U1_20060120,RU50385U1,Артюх Вячеслав Васильевич (RU),2005.07.07,2006.01.20
ВОСПЛАМЕНИТЕЛЬНЫЙ СОСТАВ,https://yandex.ru/patents/doc/RU2233825C2_20040810,RU2233825C2,ХАГЕЛЬ Райнер (DE),1996.10.26,2004.08.10
Пуля с сердечником из щелочного или...,https://yandex.ru/patents/doc/RU2222769C2_20040127,RU2222769C2,Васин В.А.,2002.04.02,2004.01.27
ПАТРОН БЕЗГИЛЬЗОВЫЙ,https://yandex.ru/patents/doc/RU2113686C1_19980620,RU2113686C1,Сагаков С.С.,1996.04.30,1998.06.20
НАРУЧНИК-КОЛОДКА,https://yandex.ru/patents/doc/RU2217564C2_20031127,RU2217564C2,Петров В.А.,2001.04.27,2003.11.27
Способ количественного спектрофотометрического...,https://yandex.ru/patents/doc/RU2207548C1_20030627,RU2207548C1,Дружинин А.А.,2002.01.08,2003.06.27
Способ импульсного распыления вещества,https://yandex.ru/patents/doc/RU2182027C2_20020510,RU2182027C2,Александров Ю.К.,2000.03.13,2002.05.10
ВЕРТОЛЕТ,https://yandex.ru/patents/doc/RU2192987C2_20021120,RU2192987C2,Бороздин С.В.,2000.03.06,2002.11.20
Метаемое тело для электромагнитного ускорителя,https://yandex.ru/patents/doc/RU2191978C1_20021027,RU2191978C1,Кольга В.В.,2001.05.30,2002.10.27
БОЕВАЯ УСТАНОВКА,https://yandex.ru/patents/doc/RU2179695C2_20020220,RU2179695C2,Ротенберг Г.Я.,2000.02.08,2002.02.20
Бесшумный и беспламенный унитарный патрон,https://yandex.ru/patents/doc/RU40463U1_20040910,RU40463U1,Аманов В.В. (RU),2004.04.01,2004.09.10
Кормовая оконечность подводной лодки,https://yandex.ru/patents/doc/RU2166456C1_20010510,RU2166456C1,Дегтерев М.А.,2000.01.10,2001.05.10
Эжекторный механизм охотничьего ружья,https://yandex.ru/patents/doc/RU2162995C1_20010210,RU2162995C1,Загребин В.Д.,1999.08.03,2001.02.10
Прицельная система самолета с лазерным дальномером,https://yandex.ru/patents/doc/RU2150069C1_20000527,RU2150069C1,Корчагин В.М.,1999.02.22,2000.05.27
Обечайка сотовой кассеты направляющих для...,https://yandex.ru/patents/doc/RU206172U1_20210826,RU206172U1,Подшивалов Сергей Федорович (RU),2021.05.11,2021.08.26
ОРУДИЙНАЯ УСТАНОВКА,https://yandex.ru/patents/doc/RU2148231C1_20000427,RU2148231C1,Шипунов А.Г.,1999.04.28,2000.04.27
Способ организации переправы через реку,https://yandex.ru/patents/doc/RU2130796C1_19990527,RU2130796C1,Таланов Б.П.,1998.05.06,1999.05.27
Прибор наблюдения и прицеливания,https://yandex.ru/patents/doc/RU2122174C1_19981120,RU2122174C1,Матлин Р.В.,1998.01.08,1998.11.20
УПРАВЛЯЕМЫЙ СНАРЯД,https://yandex.ru/patents/doc/RU2123659C1_19981220,RU2123659C1,Катуркин Н.Н.,1997.08.13,1998.12.20
Система стабилизации и наведения,https://yandex.ru/patents/doc/RU6609U1_19980516,RU6609U1,Беликов А.А.,1996.12.27,1998.05.16
"Контейнер для хранения питательных смесей,...",https://yandex.ru/patents/doc/RU7090U1_19980716,RU7090U1,Бурмистров Г.П.,1997.07.24,1998.07.16
Головной обтекатель летательного аппарата,https://yandex.ru/patents/doc/RU2118271C1_19980827,RU2118271C1,Горюнов Сергей Владимирович,1997.08.27,1998.08.27
